student_id,subject,score
E14108323,History,85
E14103826,Computer Science,35
E14101956,Art,87
E14108778,Chemistry,31
E14105739,English,22
E14100609,Art,15
E14105278,Art,59
E14106315,English,97
E14104530,History,46
E14101401,Physical Education,51
E14108380,Computer Science,80
E14109266,Physics,69
E14100609,English,99
E14102558,History,73
E14108166,Chemistry,72
E14101826,Physical Education,100
E14109835,Geography,31
E14108778,Chemistry,59
E14109835,History,80
E14102950,Art,90
E14102797,Art,23
E14100148,Computer Science,38
E14103656,Mathematics,57
E14106927,Biology,80
E14106947,English,97
E14102558,Art,50
E14100245,Biology,33
E14106704,Physics,40
E14105667,Art,81
E14100609,English,12
E14104607,Biology,52
E14105368,Art,96
E14104541,Computer Science,38
E14105278,Geography,33
E14108386,Geography,62
E14100930,Art,75
E14102424,Physical Education,70
E14105401,Geography,6
E14101229,Physics,61
E14106704,Computer Science,62
E14102950,English,1
E14108380,Geography,31
E14107651,Geography,8
E14100658,Art,80
E14102797,Art,54
E14102797,English,23
E14106841,Biology,40
E14100658,Biology,23
E14103783,English,87
E14105573,History,79
E14103656,Chemistry,33
E14100648,Physical Education,17
E14108380,Biology,60
E14106909,Physical Education,37
E14108113,Chemistry,34
E14106909,History,4
E14102265,Biology,26
E14100930,Art,33
E14102797,Art,39
E14100930,Computer Science,25
E14101782,Biology,30
E14105294,English,9
E14100609,Chemistry,42
E14109348,Art,47
E14102333,Biology,6
E14102364,History,24
E14106704,Geography,67
E14109289,Biology,5
E14104478,Mathematics,2
E14109266,Geography,97
E14103826,Physics,54
E14105294,Geography,57
E14108144,Mathematics,53
E14101922,English,64
E14107671,Geography,72
E14103826,History,42
E14107671,Physical Education,70
E14101782,English,21
E14108778,Art,25
E14101869,Physics,98
E14106909,Biology,10
E14102364,Geography,51
E14105401,Computer Science,37
E14106315,English,33
E14101229,Biology,28
E14108248,Chemistry,91
E14102364,Biology,68
E14105593,Physics,71
E14104599,English,0
E14102364,Chemistry,14
E14100310,Biology,41
E14104064,Biology,23
E14109348,Art,82
E14103687,Computer Science,37
E14106410,Mathematics,97
E14103656,Art,10
E14108248,History,5
E14105278,Chemistry,89
E14102364,Computer Science,43
E14103826,Art,61
E14102424,History,56
E14102333,Physical Education,84
E14105032,English,67
E14106216,Mathematics,14
E14100310,Physical Education,100
E14101229,History,55
E14108925,Physical Education,72
E14108323,Biology,96
E14109552,Chemistry,61
E14100648,Art,12
E14101956,Geography,84
E14100648,Physics,76
E14109266,History,4
E14100648,Chemistry,77
E14101378,Physics,31
E14105667,Mathematics,20
E14105294,History,64
E14108166,Mathematics,40
E14106410,English,12
E14109517,Physical Education,35
E14106216,Computer Science,65
E14100257,Chemistry,43
E14108113,English,84
E14100245,Art,36
E14106496,English,2
E14105667,Physics,86
E14102424,Biology,58
E14101378,Geography,7
E14108669,Computer Science,54
E14106733,English,45
E14109517,History,67
E14108166,Physical Education,96
E14106909,English,89
E14106909,History,77
E14101782,Physics,32
E14105593,Mathematics,33
E14106909,English,88
E14100741,Physics,53
E14101869,Mathematics,62
E14102333,Physics,65
E14103783,Geography,31
E14105739,Computer Science,68
E14104064,Biology,13
E14105401,Geography,19
E14106216,History,1
E14108778,Biology,56
E14108925,Biology,35
E14101378,Geography,59
E14108323,Biology,77
E14102408,Biology,55
E14100310,History,89
E14100609,History,20
E14109108,History,28
E14106073,Computer Science,51
E14108144,Biology,5
E14100245,Geography,97
E14107671,Mathematics,42
E14100245,Computer Science,60
E14102898,History,6
E14108248,Computer Science,54
E14102558,Art,18
E14105920,Physical Education,91
E14102558,Art,81
E14104506,Biology,79
E14102408,Chemistry,88
E14109108,Physical Education,36
E14108113,English,41
E14102364,Physics,51
E14103687,Chemistry,85
E14102396,Biology,2
E14105920,History,48
E14106841,Geography,30
E14109835,History,61
E14102424,Computer Science,42
E14108089,Biology,75
E14102558,Biology,8
E14104064,Computer Science,80
E14108380,English,100
E14108248,Physical Education,4
E14106523,English,83
E14100245,Chemistry,18
E14102558,Art,26
E14103687,Physics,8
E14104478,Computer Science,61
E14105368,Physics,43
E14102364,Geography,96
E14104607,Physical Education,48
E14101869,History,66
E14100609,Mathematics,10
E14101523,Computer Science,92
E14105377,Physics,63
E14102558,English,74
E14104541,Physics,21
E14105368,Chemistry,31
E14105278,Art,17
E14107651,Computer Science,90
E14101826,Computer Science,56
E14108144,Computer Science,42
E14102265,Physics,81
E14102558,Biology,43
